epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,198.653,0.73665,1.10931,1.10186,0.85193,0.47748,0.67714,0.37589,1.70649,1.91105,1.44799,2.7222e-05,2.7222e-05,2.7222e-05
68,201.239,1.04242,1.77333,1.40555,0.85193,0.47748,0.67714,0.37589,1.70649,1.91105,1.44799,2.68451e-05,2.68451e-05,2.68451e-05
69,204.193,0.64229,1.09554,1.12532,0.84142,0.4864,0.56788,0.28283,1.65531,1.95193,1.42117,2.64447e-05,2.64447e-05,2.64447e-05
70,206.975,0.97702,0.86595,1.429,0.84142,0.4864,0.56788,0.28283,1.65531,1.95193,1.42117,2.60207e-05,2.60207e-05,2.60207e-05
71,209.779,0.94809,1.28824,1.31602,0.84142,0.4864,0.56788,0.28283,1.65531,1.95193,1.42117,2.55731e-05,2.55731e-05,2.55731e-05
72,212.686,0.59403,0.63781,1.07473,0.84034,0.4854,0.54131,0.27389,1.7241,2.0006,1.44577,2.5102e-05,2.5102e-05,2.5102e-05
73,215.457,0.68672,0.90519,1.04376,0.84034,0.4854,0.54131,0.27389,1.7241,2.0006,1.44577,2.46073e-05,2.46073e-05,2.46073e-05
74,218.357,0.72458,0.5937,1.21903,0.84034,0.4854,0.54131,0.27389,1.7241,2.0006,1.44577,2.40891e-05,2.40891e-05,2.40891e-05
75,221.249,0.72864,0.55266,1.14087,0.84021,0.48259,0.54721,0.26849,1.775,1.99406,1.46573,2.35472e-05,2.35472e-05,2.35472e-05
76,224.113,0.63407,0.73321,1.12757,0.84021,0.48259,0.54721,0.26849,1.775,1.99406,1.46573,2.29819e-05,2.29819e-05,2.29819e-05
77,227.022,0.68076,0.6588,1.11161,0.84021,0.48259,0.54721,0.26849,1.775,1.99406,1.46573,2.23929e-05,2.23929e-05,2.23929e-05
78,229.89,0.87349,1.00215,1.18445,0.83366,0.48817,0.5442,0.26805,1.73838,2.01283,1.44924,2.17805e-05,2.17805e-05,2.17805e-05
79,232.747,0.58984,0.74871,1.08421,0.83366,0.48817,0.5442,0.26805,1.73838,2.01283,1.44924,2.11444e-05,2.11444e-05,2.11444e-05
80,235.548,0.72172,0.7228,1.18054,0.83366,0.48817,0.5442,0.26805,1.73838,2.01283,1.44924,2.04848e-05,2.04848e-05,2.04848e-05
81,238.382,0.51218,0.50361,0.97371,0.84247,0.48005,0.53436,0.26405,1.77625,2.05554,1.47649,1.98016e-05,1.98016e-05,1.98016e-05
82,241.155,0.80743,0.67147,1.1431,0.84247,0.48005,0.53436,0.26405,1.77625,2.05554,1.47649,1.90949e-05,1.90949e-05,1.90949e-05
83,243.891,0.76667,0.82215,1.19695,0.84247,0.48005,0.53436,0.26405,1.77625,2.05554,1.47649,1.83646e-05,1.83646e-05,1.83646e-05
84,246.746,0.78339,0.56569,1.20382,0.84074,0.48418,0.53726,0.26773,1.82594,2.08449,1.50316,1.76107e-05,1.76107e-05,1.76107e-05
85,249.513,0.56568,0.72736,1.10834,0.84074,0.48418,0.53726,0.26773,1.82594,2.08449,1.50316,1.68333e-05,1.68333e-05,1.68333e-05
86,252.292,0.73573,0.66176,1.10111,0.84074,0.48418,0.53726,0.26773,1.82594,2.08449,1.50316,1.60323e-05,1.60323e-05,1.60323e-05
87,255.037,0.75004,0.79184,1.04975,0.84074,0.48418,0.53726,0.26773,1.82594,2.08449,1.50316,1.52077e-05,1.52077e-05,1.52077e-05
88,257.958,0.78955,0.85709,1.37928,0.8394,0.48346,0.5343,0.26768,1.83372,2.0749,1.50479,1.43596e-05,1.43596e-05,1.43596e-05
89,260.713,0.99023,0.92347,1.47941,0.8394,0.48346,0.5343,0.26768,1.83372,2.0749,1.50479,1.34879e-05,1.34879e-05,1.34879e-05
90,263.556,0.64881,0.64183,1.01081,0.8394,0.48346,0.5343,0.26768,1.83372,2.0749,1.50479,1.25927e-05,1.25927e-05,1.25927e-05
91,266.306,0.4594,0.519,0.89124,0.8394,0.48346,0.5343,0.26768,1.83372,2.0749,1.50479,1.16739e-05,1.16739e-05,1.16739e-05
92,269.185,0.71229,0.69899,0.99346,0.83645,0.48472,0.53533,0.27843,1.83639,2.02835,1.48928,1.07315e-05,1.07315e-05,1.07315e-05
93,271.94,0.47719,0.45807,0.98562,0.83645,0.48472,0.53533,0.27843,1.83639,2.02835,1.48928,9.76562e-06,9.76562e-06,9.76562e-06
94,274.728,0.54843,0.43416,0.88566,0.83645,0.48472,0.53533,0.27843,1.83639,2.02835,1.48928,8.77613e-06,8.77613e-06,8.77613e-06
95,277.556,0.43474,0.45103,0.89786,0.83645,0.48472,0.53533,0.27843,1.83639,2.02835,1.48928,7.76308e-06,7.76308e-06,7.76308e-06
96,280.477,0.43949,0.50661,0.96138,0.84121,0.4648,0.55785,0.3054,1.75532,1.95504,1.44242,6.72648e-06,6.72648e-06,6.72648e-06
97,283.269,0.68969,0.60686,1.04847,0.84121,0.4648,0.55785,0.3054,1.75532,1.95504,1.44242,5.6663e-06,5.6663e-06,5.6663e-06
98,286.033,0.51778,0.48596,0.90992,0.84121,0.4648,0.55785,0.3054,1.75532,1.95504,1.44242,4.58257e-06,4.58257e-06,4.58257e-06
99,288.794,0.47588,0.464,0.90957,0.84121,0.4648,0.55785,0.3054,1.75532,1.95504,1.44242,3.47528e-06,3.47528e-06,3.47528e-06
100,291.621,0.55758,0.49074,1.00228,0.83618,0.46667,0.60765,0.33969,1.70893,1.87514,1.41392,2.34442e-06,2.34442e-06,2.34442e-06
